[Name]
diff with serum switch, Fig.3A-C, siKRAS

[Notes]
diff with serum switch, Fig.3A-C, siKRAS

[Components]
time,pPROG,pTRANS,pDIFF

[Componentnotes]

[Values]
0,NaN,NaN,NaN
1,0.85,89.0,9.8
2,0.90,86.6,12.4
3,0.52,79.9,19.4
4,0.49,77.2,21.9
5,0.60,80.7,18.4
