% Measurement file generated: 02-Jan-2012

[Name]
diff with serum switch, Fig.2A

[Notes]
diff with serum switch, Fig.2A

time,pPROG,pTRANS,pDIFF
0,NaN,NaN,NaN
1,0.217,97,3
4,0.217,88.5,11.5
5,0.21,86.3,13.6

[Components]
time,pPROG,pTRANS,pDIFF

[Componentnotes]

[Values]
0,NaN,NaN,NaN
1,1.19,88.8,9.8
4,1.29,77.3,21.5
5,1.16,70.2,28.8
